Sample,Data,PM,Δm,V_amb,C_pm,110.9758,124.9914,130.0228,139.0071,152.9863,154.9656,168.9812,172.9914,187.0071,187.0071,201.0227,209.0853,138.9707,251.0961,269.0700,311.0442,167.0020,179.0020,180.9812,182.9969,194.9969,197.0125,198.9918,199.0282,210.9919,213.0074,215.0231,224.9711,229.0024,240.9660,241.9976,281.0338,297.0284,231.0696,233.0489,235.0646,247.0646,249.0438,249.0806,251.0595,263.0595,265.0393,265.0752,267.0547,279.0542,281.0700,283.0493,283.0855,295.0490,297.0648,293.1793,303.1272,309.1736,315.1271,317.1428,321.1384,323.1531,333.1013,347.1170,349.1326,211.0364,225.0062,262.0558,265.0391,278.0517,281.0325,325.0524,269.9921,310.0238,389.0140,242.9816,260.0082,273.9874,294.0653,296.0446,310.0602,312.0395,312.0759,324.0394,326.0551,328.0708,342.0500,362.1279,382.1177,257.0139,273.0063,275.0228,320.0021,217.9751,231.0333,287.0243,289.0387
emep_h10_7,01/08/19,10,4.540,632.7,7.17544921631129,3263425,834024,3437141,3071159,1209625,305981,554259,0,0,0,54494,874308,57629,586684,12757,42147,640995,0,0,0,245598,222906,0,104698,84718,39973,0,0,0,0,0,215344,27373,460695,683262,1635500,1394971,116809,1949048,1136793,240572,0,0,159338,604055,421630,89058,185176,84225,74263,7564406,0,6560851,0,0,0,0,0,0,105431,0,0,0,240550,0,215563,0,12125,15876,0,0,31672,0,17078928,949513,450553,165415,370768,237086,191799,216133,286455,0,0,0,0,0,0,0,101029,0,0
emep_h10_9,01/09/19,10,8.370,758.1,11.0406724125649,701684,166345,2194278,1606204,364276,341304,51424,0,0,0,45411,1147024,42264,447037,20464,44797,292670,0,0,0,143418,155299,0,35534,34248,28956,0,0,0,0,0,134371,25420,372170,718472,1639173,1205859,115016,2073308,1139021,170888,0,0,125357,567196,411836,90609,133638,58692,64594,6811070,0,7222635,0,0,0,0,0,0,80274,0,0,0,170691,0,139001,0,13798,10408,0,0,0,0,13450538,1079907,477098,108817,382590,146971,219927,246162,282208,0,0,0,26522,0,0,0,60129,0,0
emep_h10_10,01/10/19,10,5.600,758.5,7.38272021599718,1086033,329073,1838170,1861935,577840,648084,201329,0,0,0,38400,1636145,175999,780129,65669,107353,729855,0,0,0,472368,488821,0,0,164597,0,0,0,0,0,0,342382,91260,1061531,1169846,3418530,2712406,250910,3155001,1532937,407761,0,0,261502,1070554,749355,197514,214874,117809,73640,11192892,0,13252579,0,0,0,0,0,0,108133,0,0,0,406588,0,382853,0,11562,68874,0,0,26953,0,37873373,1933304,1125680,266504,529162,331848,534301,615030,446325,0,0,0,38904,0,0,0,118440,0,0
emep_h10_11,01/11/19,10,10.940,759.9,14.3973321506641,839227,400394,2650308,1435567,888713,733119,297030,119275,0,189248,131795,695579,0,1572827,88709,163407,895286,63815,0,141496,263715,789742,0,233133,259706,109258,0,0,0,0,0,695589,181718,631516,969436,1338479,1694988,645316,1552123,1105265,1000029,441242,1346750,735629,1085198,866573,313978,312046,169658,114476,8986467,0,3913391,0,0,300830,0,0,0,0,0,0,0,706062,0,691982,0,0,39948,0,0,45109,0,48355771,1962825,659014,283900,1127196,274952,537889,573122,444340,0,0,11709,0,0,0,0,160647,0,0
emep_h10_12,01/12/19,10,19.760,764.0,25.8639759056645,18533507,534679,2962230,1990894,2306140,3510771,2350575,89520,224847,392449,1263789,3279675,347327,3176444,239055,311199,1443964,176479,0,705427,984871,1719069,261306,620281,763292,428392,122060,0,84702,0,21791,1016591,338542,1778602,1844631,2594400,3557188,1071404,2810457,2756590,1041239,796600,2683900,1231305,1714136,1303974,578141,104475,255834,179250,1643140,0,6936064,0,0,421067,0,0,0,0,0,0,0,1226408,0,1016591,0,0,28062,0,0,0,0,47386782,3637947,1297676,557628,2125217,311437,1214836,952410,543360,0,0,70664,0,0,0,0,232456,0,0
emep_h10_13,01/13/19,10,20.440,767.2,26.6431345048145,1032808,394853,3182611,37568,2195927,2572845,1677821,61978,182862,332378,332378,2612579,470449,2438207,189264,195874,1276706,16567,0,473514,943372,1040759,139392,412201,585338,263030,72130,0,52872,0,44802,743538,24701,1384002,1676334,1932459,3175312,825085,2257716,2053911,768652,615755,1936806,1211687,1186784,932038,260958,428507,179461,56947,1318270,0,8528946,0,0,316803,0,0,0,0,0,0,0,915855,0,743538,0,0,47072,0,0,0,0,5733949,3766025,947285,500618,2210154,290861,1199305,793772,582390,0,0,31994,0,0,0,0,183249,0,0
emep_h10_14,01/14/19,10,5.470,768.5,7.11810458018152,840813,165961,1863796,1083519,353737,409792,115630,0,43742,0,32195,875720,0,870166,4274,46578,337611,0,0,0,72174,182880,11944,89493,53753,33038,0,0,0,0,0,207231,13198,637474,709531,1366043,1479468,329797,2048660,44421,296574,113429,534416,180353,457368,430956,108239,185765,101899,61739,19577339,0,16818688,0,0,0,0,0,0,105752,0,0,0,233387,0,212851,28935,0,12938,0,0,0,0,22200918,1075084,234944,155672,509290,145590,227062,160659,315583,0,0,0,0,0,0,0,92084,0,0
emep_h10_BL7,,10,,,,108108,52314,2205630,385973,23142,59198,0,0,0,0,25937,3853673,0,1764563,116841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115383,103192,202601,49416,0,64422,45085,15692,59673,23687,68787,87887,0,36647,29337,29690,1824628,0,1637061,0,0,0,0,0,0,101987,0,0,0,15681,0,0,23589,0,14067,0,0,0,0,406745,269595,22679,0,39424,65650,0,0,148101,0,0,0,0,0,0,0,11279,0,0
emep_h10_38,02/07/19,10,28.605,766.3,37.3271149748217,840813,255881,3376228,1043427,930935,684646,528571,12813,46982,0,97594,947976,0,603782,17328,98328,495306,72893,0,264842,342366,268387,92855,160754,193360,114094,0,0,15578,0,27510,303320,82082,294505,816562,970951,1028805,471777,1487189,609521,237069,167948,921295,374843,735392,605910,210835,167530,158185,137281,17484748,0,19868708,0,0,0,0,0,0,619374,0,0,0,107952,0,303320,0,14032,40032,0,0,0,0,8206172,2053565,637478,186690,1151864,102005,492625,360593,419710,0,0,0,0,0,0,0,51335,0,0
