ion,curve_std,lin_lower,lin_upper,curve_slope,curve_intercept,r_sq,precision_25,precision_100,accuracy_25,accuracy_100,lod,loq,equation
283.0493,10CSA,2.2,250,0.004,0.0104,0.9995,3.72,0.39,86.7,89.4,0.72,2.2,y=0.0040(±0.00004) x+0.0104(±0.0042)
283.0855,10CSA,2.2,250,0.004,0.0104,0.9995,3.72,0.39,86.7,89.4,0.72,2.2,y=0.0040(±0.00004) x+0.0104(±0.0042)
287.0243,PhS,2.3,250,0.0215,-0.0132,0.9997,1.42,0.76,83.4,77.5,0.77,2.3,y=0.0215(±0.00018) x-0.0132(±0.0191)
289.0387,PhS,2.3,250,0.0215,-0.0132,0.9997,1.42,0.76,83.4,77.5,0.77,2.3,y=0.0215(±0.00018) x-0.0132(±0.0191)
293.1793,10CSA,2.2,250,0.004,0.0104,0.9995,3.72,0.39,86.7,89.4,0.72,2.2,y=0.0040(±0.00004) x+0.0104(±0.0042)
294.0653,10CSA,2.2,250,0.004,0.0104,0.9995,3.72,0.39,86.7,89.4,0.72,2.2,y=0.0040(±0.00004) x+0.0104(±0.0042)
295.0490,10CSA,2.2,250,0.004,0.0104,0.9995,3.72,0.39,86.7,89.4,0.72,2.2,y=0.0040(±0.00004) x+0.0104(±0.0042)
296.0446,10CSA,2.2,250,0.004,0.0104,0.9995,3.72,0.39,86.7,89.4,0.72,2.2,y=0.0040(±0.00004) x+0.0104(±0.0042)
297.0284,LAS,100,5000,0.0004,-0.0409,0.9988,9.3,8.98,108,103,27,81,y=0.0004(±0.000007) x-0.0409(±0.0158)
297.0648,10CSA,2.2,250,0.004,0.0104,0.9995,3.72,0.39,86.7,89.4,0.72,2.2,y=0.0040(±0.00004) x+0.0104(±0.0042)
303.1272,10CSA,2.2,250,0.004,0.0104,0.9995,3.72,0.39,86.7,89.4,0.72,2.2,y=0.0040(±0.00004) x+0.0104(±0.0042)
319.1741,10CSA,2.2,250,0.004,0.0104,0.9995,3.72,0.39,86.7,89.4,0.72,2.2,y=0.0040(±0.00004) x+0.0104(±0.0042)
310.0238,OcS,1.5,250,0.0394,-0.0484,0.9996,1.6,0.44,89.2,83.2,0.51,1.5,y=0.0394(±0.00035) x-0.0484(±0.0037)
310.0602,10CSA,2.2,250,0.004,0.0104,0.9995,3.72,0.39,86.7,89.4,0.72,2.2,y=0.0040(±0.00004) x+0.0104(±0.0042)
311.0442,OcS,1.5,250,0.0394,-0.0484,0.9996,1.6,0.44,89.2,83.2,0.51,1.5,y=0.0394(±0.00035) x-0.0484(±0.0037)
312.0395,10CSA,2.2,250,0.004,0.0104,0.9995,3.72,0.39,86.7,89.4,0.72,2.2,y=0.0040(±0.00004) x+0.0104(±0.0042)
312.0759,10CSA,2.2,250,0.004,0.0104,0.9995,3.72,0.39,86.7,89.4,0.72,2.2,y=0.0040(±0.00004) x+0.0104(±0.0042)
315.1271,10CSA,2.2,250,0.004,0.0104,0.9995,3.72,0.39,86.7,89.4,0.72,2.2,y=0.0040(±0.00004) x+0.0104(±0.0042)
317.1428,10CSA,2.2,250,0.004,0.0104,0.9995,3.72,0.39,86.7,89.4,0.72,2.2,y=0.0040(±0.00004) x+0.0104(±0.0042)
320.0021,PhS,2.3,250,0.0215,-0.0132,0.9997,1.42,0.76,83.4,77.5,0.77,2.3,y=0.0215(±0.00018) x-0.0132(±0.0191)
321.1384,10CSA,2.2,250,0.004,0.0104,0.9995,3.72,0.39,86.7,89.4,0.72,2.2,y=0.0040(±0.00004) x+0.0104(±0.0042)
323.1531,10CSA,2.2,250,0.004,0.0104,0.9995,3.72,0.39,86.7,89.4,0.72,2.2,y=0.0040(±0.00004) x+0.0104(±0.0042)
324.0394,10CSA,2.2,250,0.004,0.0104,0.9995,3.72,0.39,86.7,89.4,0.72,2.2,y=0.0040(±0.00004) x+0.0104(±0.0042)
325.0524,OcS,1.5,250,0.0394,-0.0484,0.9996,1.6,0.44,89.2,83.2,0.51,1.5,y=0.0394(±0.00035) x-0.0484(±0.0037)
326.0551,10CSA,2.2,250,0.004,0.0104,0.9995,3.72,0.39,86.7,89.4,0.72,2.2,y=0.0040(±0.00004) x+0.0104(±0.0042)
328.0708,10CSA,2.2,250,0.004,0.0104,0.9995,3.72,0.39,86.7,89.4,0.72,2.2,y=0.0040(±0.00004) x+0.0104(±0.0042)
333.1013,10CSA,2.2,250,0.004,0.0104,0.9995,3.72,0.39,86.7,89.4,0.72,2.2,y=0.0040(±0.00004) x+0.0104(±0.0042)
342.0500,10CSA,2.2,250,0.004,0.0104,0.9995,3.72,0.39,86.7,89.4,0.72,2.2,y=0.0040(±0.00004) x+0.0104(±0.0042)
347.1170,10CSA,2.2,250,0.004,0.0104,0.9995,3.72,0.39,86.7,89.4,0.72,2.2,y=0.0040(±0.00004) x+0.0104(±0.0042)
349.1326,10CSA,2.2,250,0.004,0.0104,0.9995,3.72,0.39,86.7,89.4,0.72,2.2,y=0.0040(±0.00004) x+0.0104(±0.0042)
362.1279,10CSA,2.2,250,0.004,0.0104,0.9995,3.72,0.39,86.7,89.4,0.72,2.2,y=0.0040(±0.00004) x+0.0104(±0.0042)
382.1177,10CSA,2.2,250,0.004,0.0104,0.9995,3.72,0.39,86.7,89.4,0.72,2.2,y=0.0040(±0.00004) x+0.0104(±0.0042)
389.0140,OcS,1.5,250,0.0394,-0.0484,0.9996,1.6,0.44,89.2,83.2,0.51,1.5,y=0.0394(±0.00035) x-0.0484(±0.0037)
